time_100000000,time_1000000000,time_1100000000,time_1200000000,time_1300000000,time_1400000000,time_1500000000,time_1600000000,time_1700000000,time_1800000000,time_1900000000,time_200000000,time_2000000000,time_300000000,time_400000000,time_500000000,time_600000000,time_700000000,time_800000000,time_900000000
1.252473,13.153340,14.279991,16.177484,17.342088,17.966037,21.744979,20.639807,23.766250,22.937909,26.285958,2.435110,27.123721,4.271553,9.888452,6.620556,8.080385,9.099786,11.089927,12.091039
1.473423,12.816129,13.891711,18.345344,16.738594,18.103578,20.125788,21.135542,25.523921,24.230947,25.888512,2.532714,27.192654,3.555615,6.046666,6.615903,8.077185,11.656609,10.865891,14.086155
1.367846,13.457325,15.105466,16.147367,17.539449,18.629322,19.858127,21.839276,23.359860,23.414067,25.808197,2.679748,27.341513,3.632118,6.424290,6.703768,9.347486,9.656533,10.285891,12.122685
1.404395,13.261869,14.976171,16.143467,18.345813,19.683550,19.627179,21.505011,22.335901,23.933451,27.154913,2.340868,28.162021,4.203997,6.777164,6.113153,8.524754,9.297363,11.296631,14.099842
1.272159,14.124945,14.365041,15.498377,17.586958,21.334544,20.195243,21.721960,23.140278,24.159210,25.974502,2.776427,27.048782,4.002227,6.950337,7.228402,7.908017,9.299421,10.387146,12.734813
1.180379,14.179890,17.076395,16.723135,18.128385,17.972430,19.757677,22.378370,22.206639,24.055257,25.782738,2.514196,27.740944,4.070627,5.857480,7.068909,7.858119,8.932181,10.882932,11.286071
1.176873,13.726093,14.673367,16.591635,17.483041,19.306843,19.649083,21.135723,23.418685,25.147619,23.960332,2.754922,27.196966,4.188284,5.531475,6.763744,8.932848,9.896187,10.481968,11.634268
1.484667,13.177490,14.900265,15.820735,17.754324,17.616037,20.203137,21.884034,24.010904,23.265550,24.236424,3.003690,28.744193,4.234226,5.698527,7.153184,7.647720,8.793006,10.805823,12.467819
1.413637,13.142520,14.818709,16.435849,17.992613,18.771644,21.172747,22.278807,23.144086,24.658846,24.963215,2.718610,26.635262,3.580265,5.611404,6.151720,7.817122,9.492538,11.428779,11.649799
1.156544,14.300897,14.727231,16.812460,17.966181,18.097561,20.165695,21.259443,22.452956,24.924655,25.572403,2.421552,28.027544,4.273795,4.914237,7.998478,7.811533,9.009869,10.050519,12.513504
1.190434,13.056152,15.165079,15.564917,19.829977,17.904073,19.654072,21.176877,22.938440,24.665976,25.939879,2.429721,27.344283,3.964307,5.734716,6.420799,7.808959,9.117712,9.718134,11.679534
1.289311,13.213135,14.978330,16.070618,16.525453,21.224382,22.580590,21.424655,23.509170,24.323806,27.084477,2.360825,27.326396,3.626880,4.837176,6.979383,7.732014,9.068195,10.280337,11.978823
1.199469,13.867064,14.888127,14.843565,17.475405,18.201158,22.370751,22.632127,23.262199,23.425430,25.753148,2.816036,26.316675,4.049693,5.402735,6.889344,8.008404,9.524525,10.596770,12.197218
1.494266,13.085207,14.911174,16.246695,17.212956,18.985610,20.557318,20.712945,22.224902,23.711574,26.888506,2.340126,27.178219,3.911867,5.459462,6.022126,8.440620,9.210380,10.680456,12.024078
1.189173,12.834160,14.327870,14.864408,17.969754,18.091280,20.750189,21.582709,22.768297,24.738837,24.738683,2.545455,27.400031,4.811804,5.308198,6.698581,8.088162,11.081114,11.189080,12.418929
