time_100000000,time_1000000000,time_1100000000,time_1200000000,time_1300000000,time_1400000000,time_1500000000,time_1600000000,time_1700000000,time_1800000000,time_1900000000,time_200000000,time_2000000000,time_300000000,time_400000000,time_500000000,time_600000000,time_700000000,time_800000000,time_900000000
1.606893,12.143526,13.356106,14.568469,16.314638,16.975509,19.561728,19.665470,20.789222,22.735120,25.098275,2.457159,24.606048,3.662491,6.617309,6.853557,8.015189,8.474103,11.379534,11.462612
1.609537,12.791970,13.345671,14.769082,17.691019,18.756636,18.632021,20.761349,22.462248,23.018366,25.859955,2.992751,25.133137,3.651694,8.252928,6.092595,9.004532,10.004763,11.110841,12.992177
1.226248,12.705825,13.355934,15.278836,18.099838,17.698842,18.177686,20.069838,20.771349,23.732598,24.666513,2.695520,25.452011,3.642775,5.923878,6.664806,8.386512,8.773849,11.240857,11.594200
1.530357,12.712881,14.339353,15.280895,15.974574,18.902969,19.507557,19.403345,21.354806,21.904301,25.018153,2.438890,26.965600,3.748599,5.529660,6.664483,8.193102,8.523246,10.752870,12.139907
1.568219,13.384012,14.597763,14.629631,15.978735,18.575189,20.169467,21.980295,21.061913,22.351110,26.056689,2.773084,24.792354,4.348373,5.601493,6.108761,7.280018,9.675013,9.999111,11.737357
1.223791,12.401005,13.392206,15.273550,17.273508,17.475736,18.879297,19.379397,20.668732,22.677985,23.580256,2.765818,26.456489,4.472297,6.066484,6.084019,7.327676,9.472062,9.820930,10.962308
1.215317,12.779444,14.579460,15.374447,16.157457,18.065791,18.832270,20.754453,21.534747,21.959441,23.737210,2.786594,25.211933,3.949456,4.869562,6.420831,8.652009,8.646874,9.714294,12.197690
1.505936,12.213948,13.334137,14.602451,17.107083,19.123754,18.765555,19.438893,23.045636,22.407635,23.864108,2.433819,26.765794,3.655556,5.738441,6.069014,7.993834,8.794408,10.433499,11.679036
1.524207,13.326528,13.363182,16.256675,16.322428,18.515429,18.232138,19.467496,22.148084,22.703526,25.690475,2.650191,25.070356,3.647870,5.286744,7.167076,7.296454,8.522589,10.652696,10.996159
1.225537,13.615484,13.325240,14.867054,16.565447,18.281698,18.245793,20.434344,22.931980,22.414270,25.521813,2.842936,27.227845,3.640890,4.972213,6.384783,7.267582,8.522107,10.036995,11.686982
1.231445,12.839064,13.425333,14.592873,16.256502,17.469431,18.455380,20.278409,21.852161,23.533300,24.067865,3.054286,25.994198,3.800168,5.343183,6.042904,7.278927,9.003779,10.516882,11.096385
1.521903,12.843272,13.425528,15.213469,15.784032,18.154724,21.660050,19.407880,21.386755,22.401132,23.241089,2.438033,27.193316,4.202635,4.857931,6.841765,7.392817,9.683847,9.683005,11.613762
1.577540,12.454388,13.685869,16.105971,17.705926,18.334851,20.046736,20.020995,20.648149,21.852193,23.151370,2.890102,25.754282,3.657361,4.849098,6.397444,8.406545,8.506296,9.988469,11.647442
1.217887,12.589634,13.824647,14.625696,17.115094,17.146144,19.580260,20.707507,21.220993,25.008503,23.108063,2.500585,25.023745,4.726447,4.902705,6.167462,7.348637,9.687241,9.704807,11.642738
1.592471,13.282227,13.334700,14.731848,17.611314,18.839855,18.880531,20.020995,21.125414,23.966647,23.533073,2.913517,24.796298,4.189787,5.896326,6.699384,7.292328,9.440741,10.445260,12.231002
