real_time_4000000,real_time_100000,real_time_1000000,real_time_10000000,real_time_100000000,real_time_40000,real_time_400000,real_time_4000000,real_time_40000000,real_time_70000,real_time_700000,real_time_7000000,real_time_70000000
0.010048,0.000402,0.002520,0.025175,0.248052,0.000163,0.001609,0.011248,0.144686,0.000273,0.001857,0.023340,0.250382
0.012024,0.000420,0.002438,0.024945,0.245226,0.000157,0.001159,0.010131,0.090023,0.000289,0.002337,0.017803,0.182856
0.012225,0.000411,0.003812,0.024610,0.249883,0.000158,0.002574,0.010008,0.128860,0.000287,0.001852,0.018269,0.183359
0.009717,0.000466,0.002954,0.024324,0.230210,0.000155,0.001549,0.011257,0.089081,0.000283,0.001874,0.018337,0.179444
0.010261,0.000443,0.002720,0.025106,0.254876,0.000156,0.002199,0.009264,0.139481,0.000297,0.003649,0.016521,0.180409
0.000037,0.000439,0.002494,0.025439,0.305617,0.000158,0.001044,0.010437,0.088365,0.000297,0.001841,0.017780,0.186321
0.000037,0.000457,0.004278,0.025069,0.322757,0.000156,0.001056,0.009739,0.137197,0.000433,0.001737,0.017928,0.181260
0.000038,0.000973,0.003087,0.027123,0.310725,0.000157,0.001163,0.011269,0.090155,0.000300,0.001825,0.018474,0.181963
0.000056,0.000387,0.002670,0.025215,0.339809,0.000186,0.001706,0.010866,0.140216,0.000439,0.002254,0.019366,0.181601
0.000036,0.000424,0.002855,0.023554,0.311645,0.000166,0.001564,0.012287,0.089157,0.000272,0.001780,0.017480,0.249180
0.000038,0.000399,0.004527,0.024251,0.295553,0.000222,0.001561,0.011639,0.137149,0.000273,0.003337,0.018404,0.147876
0.000041,0.000386,0.002439,0.025235,0.300435,0.000156,0.002354,0.011364,0.087957,0.000333,0.002330,0.018503,0.151957
0.000053,,,,,,,,,,,,
0.000039,,,,,,,,,,,,
0.000038,,,,,,,,,,,,
0.000038,,,,,,,,,,,,
0.000040,,,,,,,,,,,,
