real_time_10000,real_time_100000,real_time_1000000,real_time_10000000,real_time_100000000,real_time_40000,real_time_400000,real_time_4000000,real_time_40000000,real_time_70000,real_time_700000,real_time_7000000,real_time_70000000
0.000037,0.000441,0.002418,0.024477,0.282114,0.000153,0.003250,0.011564,0.140090,0.000284,0.002173,0.017827,0.158600
0.000053,0.000426,0.002472,0.024898,0.293902,0.000173,0.001658,0.011548,0.093807,0.000277,0.002154,0.018241,0.147392
0.000038,0.000380,0.002305,0.022671,0.282811,0.000243,0.001049,0.009493,0.145494,0.000262,0.002775,0.016244,0.134863
0.000060,0.000375,0.002679,0.022049,0.287742,0.000156,0.001519,0.008676,0.116451,0.000277,0.001973,0.017922,0.139291
0.000037,0.000458,0.002474,0.023898,0.290329,0.000150,0.001659,0.011559,0.112250,0.000279,0.001703,0.017320,0.137869
0.000037,0.000436,0.002290,0.025575,0.248855,0.000151,0.001650,0.009871,0.103605,0.000266,0.001670,0.016789,0.140700
0.000039,0.000393,0.002474,0.025476,0.213738,0.000151,0.001113,0.009937,0.104953,0.000276,0.001944,0.016430,0.141471
0.000057,0.000456,0.002827,0.025945,0.216016,0.000203,0.001037,0.009581,0.113720,0.000263,0.003384,0.017482,0.146939
0.000055,0.000378,0.002614,0.024958,0.219936,0.000151,0.001060,0.008216,0.106842,0.000277,0.001662,0.017010,0.143399
0.000039,0.000420,0.003387,0.024009,0.218302,0.000172,0.001529,0.012311,0.112663,0.000321,0.002232,0.017033,0.140041
0.000068,0.000391,0.003794,0.023474,0.223125,0.000152,0.001001,0.009623,0.102826,0.000265,0.002141,0.015507,0.138488
0.000047,0.000386,0.002533,0.021602,0.285752,0.000160,0.001608,0.009375,0.107811,0.000261,0.002241,0.017150,0.136406
